label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,000a_20201117_SRJ_HILICnegpos_0a_0_Blank_0_0_0,001_20201117_SRJ_HILICnegpos_1_SL01_P1_24hr_Vehicle_13CGln,002_20201117_SRJ_HILICnegpos_2_SL02_P1_24hr_Vehicle_13CGln,003_20201117_SRJ_HILICnegpos_3_SL03_P1_24hr_Vehicle_13CGln,004_20201117_SRJ_HILICnegpos_4_SL04_P1_24hr_0p5um_13CGln,005_20201117_SRJ_HILICnegpos_5_SL05_P1_24hr_0p5um_13CGln,006_20201117_SRJ_HILICnegpos_6_SL06_P1_24hr_0p5um_13CGln,007_20201117_SRJ_HILICnegpos_7_SL07_P1_24hr_1um_13CGln,008_20201117_SRJ_HILICnegpos_8_SL08_P1_24hr_1um_13CGln,009_20201117_SRJ_HILICnegpos_9_SL09_P1_24hr_1um_13CGln,010_20201117_SRJ_HILICnegpos_10_SL10_P3_24hr_Vehicle_13CGln,011_20201117_SRJ_HILICnegpos_11_SL11_P3_24hr_Vehicle_13CGln,012_20201117_SRJ_HILICnegpos_12_SL12_P3_24hr_Vehicle_13CGln,013_20201117_SRJ_HILICnegpos_13_SL13_P3_24hr_0p5um_13CGln,014_20201117_SRJ_HILICnegpos_14_SL14_P3_24hr_0p5um_13CGln,015_20201117_SRJ_HILICnegpos_15_SL15_P3_24hr_0p5um_13CGln,016_20201117_SRJ_HILICnegpos_16_SL16_P3_24hr_1um_13CGln,017_20201117_SRJ_HILICnegpos_17_SL17_P3_24hr_1um_13CGln,018_20201117_SRJ_HILICnegpos_18_SL18_P3_24hr_1um_13CGln,019_20201117_SRJ_HILICnegpos_19_SL19_P1_24hr_Vehicle_13CGluc,020_20201117_SRJ_HILICnegpos_20_SL20_P1_24hr_Vehicle_13CGluc,021_20201117_SRJ_HILICnegpos_21_SL21_P1_24hr_Vehicle_13CGluc,022_20201117_SRJ_HILICnegpos_22_SL22_P1_24hr_0p5um_13CGluc,023_20201117_SRJ_HILICnegpos_23_SL23_P1_24hr_0p5um_13CGluc,024_20201117_SRJ_HILICnegpos_24_SL24_P1_24hr_0p5um_13CGluc,030_20201117_SRJ_HILICnegpos_30_SL30_P3_24hr_Vehicle_13CGluc,025_20201117_SRJ_HILICnegpos_25_SL25_P1_24hr_1um_13CGluc,026_20201117_SRJ_HILICnegpos_26_SL26_P1_24hr_1um_13CGluc,027_20201117_SRJ_HILICnegpos_27_SL27_P1_24hr_1um_13CGluc,028_20201117_SRJ_HILICnegpos_28_SL28_P3_24hr_Vehicle_13CGluc,029_20201117_SRJ_HILICnegpos_29_SL29_P3_24hr_Vehicle_13CGluc,031_20201117_SRJ_HILICnegpos_31_SL31_P3_24hr_0p5um_13CGluc,032_20201117_SRJ_HILICnegpos_32_SL32_P3_24hr_0p5um_13CGluc,033_20201117_SRJ_HILICnegpos_33_SL33_P3_24hr_0p5um_13CGluc,034_20201117_SRJ_HILICnegpos_34_SL34_P3_24hr_1um_13CGluc,035_20201117_SRJ_HILICnegpos_35_SL35_P3_24hr_1um_13CGluc,036_20201117_SRJ_HILICnegpos_36_SL36_P3_24hr_1um_13CGluc
g,40,40,36,315.058563,12.957,0.837069,[M+H]+,C12 PARENT,phosphoribosyl-N-formylglycineamide,phosphoribosyl-N-formylglycineamide,C8H15N2O9P,-1,0.774905,315.058563,0,189486.88,212824.69,238834.53,9564890,101977336,15130047,136282384,132414176,149881280,7568742.5,2862265.75,1554597.12,86675792,79052312,93881224,75431816,63886184,75742264,4002574.5,1638615.25,1035324.94,263022464,264919216,249783184,1854825,198411264,225832976,233414448,7676218.5,3231786.75,177848960,164927168,134892688,130647056,158754960,148558400
,40,41,24,316.062042,12.952,0.756195,,C13-label-1,phosphoribosyl-N-formylglycineamide,phosphoribosyl-N-formylglycineamide,C8H15N2O9P,-1,0.289667,315.058563,0,0,11062.32,17167.46,812999.56,9138716,1278286.25,12283106,11682100,13519820,643116.56,216243.97,124481.88,7740871.5,7009909,8513401,6637139,5652137.5,6698476,330121.69,83199.3,47290.26,28553450,28313216,26403844,149715,21553486,24356722,25577250,814594.5,282894.19,18270658,16783498,13600741,13185164,16014442,15130913
,40,42,3,317.064148,12.954,0.652664,,C13-label-2,phosphoribosyl-N-formylglycineamide,phosphoribosyl-N-formylglycineamide,C8H15N2O9P,-1,4.235003,315.058563,0,2385.42,0,4215.44,0,0,3779.44,3368.96,0,5586.92,22523.38,18259.32,12325.65,6176.99,0,0,0,0,5608.74,0,10730.95,0,1312880,2841286.5,2967632,48941.73,1118269,1601730.88,3804849.25,154595.77,67602.15,1940651,3237303,3974077,0,560518.31,183209.77
,40,43,10,318.068085,13.009,0.836736,,C13-label-3,phosphoribosyl-N-formylglycineamide,phosphoribosyl-N-formylglycineamide,C8H15N2O9P,-1,2.398661,315.058563,0,23540.61,15986.19,7776.04,26415.95,19704.7,22645.85,3490.51,3069.83,0,10606.87,18952.81,8782,27232.05,0,9489.83,25563.93,1739.61,12347.92,16200.14,22149.8,25744.22,2177605.5,2241459.75,2161113.5,30007.81,1453671.25,1581512.75,1599660.25,51854.49,10102.85,1931447.88,1721441.25,1551037.75,843163,1137694.25,1054314.25
,40,44,8,319.07135,12.9,0.826918,,C13-label-4,phosphoribosyl-N-formylglycineamide,phosphoribosyl-N-formylglycineamide,C8H15N2O9P,-1,2.678053,315.058563,0,0,0,0,0,9894.04,0,4560.24,5992.74,3648.41,6650.27,3913.66,6415.44,3221.9,10314.66,2975.59,6033.7,6298.4,10404.27,0,0,6480.33,3477609.25,3172609,3657846,4566.37,1107690,1340952.12,1264078.5,43435.92,32693.05,3679680.75,3774050.75,3429034.5,1340910,1721185.62,1894509.5
,40,45,11,320.074799,12.935,0.719446,,C13-label-5,phosphoribosyl-N-formylglycineamide,phosphoribosyl-N-formylglycineamide,C8H15N2O9P,-1,2.383623,315.058563,0,4245.6,0,5150.86,0,0,2539.66,2383.42,0,0,0,0,0,5171.53,3289.47,3122.51,8917.95,4332.22,15252.15,86323.01,151690.34,172809.22,51205500,43448804,53686136,447281.19,11298854,14540380,13132093,737563.62,530572.88,45975312,48716000,44274212,14088075,19547116,21024360
,40,46,8,321.0784,12.94,0.706354,,C13-label-6,phosphoribosyl-N-formylglycineamide,phosphoribosyl-N-formylglycineamide,C8H15N2O9P,-1,1.615798,315.058563,0,0,0,0,0,0,0,0,0,0,0,0,0,4295.03,0,0,0,0,0,23475.99,24057.36,44601.57,12957387,10452203,13430499,17315.17,2710808.5,3349309.5,2872196,87811.76,34827.51,7570650.5,7116004,6858605,2269715.75,3228687.25,3547616.25
,40,47,10,322.08136,12.929,0.818114,,C13-label-7,phosphoribosyl-N-formylglycineamide,phosphoribosyl-N-formylglycineamide,C8H15N2O9P,-1,2.842526,315.058563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6715216,4760759.5,6154597,0,1101635.75,1301110.5,1120782.62,0,0,1971402,1759787.5,1362255.88,576179.75,913110.81,943293.88
,40,48,8,323.084808,12.933,0.816777,,C13-label-8,phosphoribosyl-N-formylglycineamide,phosphoribosyl-N-formylglycineamide,C8H15N2O9P,-1,2.550329,315.058563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642565.5,1206861.62,1549014.12,0,263040.06,335035.97,265431.09,0,0,238804.56,158362.7,180032.59,85455.71,135245.27,145544.72
b,49,49,1,315.059448,14.928,0.584045,[M+H]+,C12 PARENT,phosphoribosyl-N-formylglycineamide,phosphoribosyl-N-formylglycineamide,C8H15N2O9P,-1,2.034126,315.059448,0,0,0,0,284930.06,4127815,639987.94,4804191,4194665,7561881.5,689304.88,147428.92,72811.77,3581179.5,2914814,3109348.25,2689135,3365572.75,2985389.5,210293.06,78545.82,63527.67,4661594,4813989,4927801.5,135726.19,4720184.5,3517185,6315490,308146.78,159582.94,3369620.25,3959521,2864398.5,3393515,3390565.75,2154981.5
g,50,50,14,269.088043,7.918,0.845119,[M+H]+,C12 PARENT,inosine,inosine,C10H12N4O5,0.512,0,269.088043,0,22041.31,24914.9,35689.85,30090.15,15847.75,26810.94,4206.5,3959.03,12678.43,32640.02,48786.37,41494.48,3086.83,3255,6824.95,4331.41,5406.27,8482.49,32756.78,30932.78,28670.1,24699.27,15192.6,15160.32,12630.67,19254.71,27863.02,13791.24,15546.58,11693.67,11670.95,4865.96,6283.05,9462.85,6892.76,21624.21
,50,51,0,270.091797,7.908,0.053282,,C13-label-1,inosine,inosine,C10H12N4O5,0.522,1.468868,269.088043,0,0,0,0,0,0,0,0,0,0,0,3400.68,2427.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,50,52,0,271.09494,7.977,0.051428,,C13-label-2,inosine,inosine,C10H12N4O5,0.453,0.67543,269.088043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712.42,0,0,0,0,0,0,0
,50,53,0,273.101654,7.947,0.052365,,C13-label-4,inosine,inosine,C10H12N4O5,0.483,0.782211,269.088043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673.42,0,0,0,1983.94,2376.32,0,0,0,0,0,0
,50,54,1,274.10495,7.928,0.760923,,C13-label-5,inosine,inosine,C10H12N4O5,0.502,0.556677,269.088043,10954.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41609.46,37093.17,39839.53,0,0,0,111362.09,0,0,0,107469.41,70856.93,0,0,0,0,0,0
,50,55,0,275.108093,8.012,0.470821,,C13-label-6,inosine,inosine,C10H12N4O5,0.418,0.221859,269.088043,2193.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12706.24,11976.05,17298.92,0,0,0,34225.4,0,0,0,29803.5,22652.39,0,0,0,0,0,0
,50,56,0,276.111389,7.96,0.064587,,C13-label-7,inosine,inosine,C10H12N4O5,0.47,0.442105,269.088043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5159.94,3159.79,7277.81,0,0,0,0,0,0,0,744.56,0,0,0,0,0,0,0
g,57,57,32,261.037018,13.061,0.852424,[M+H]+,C12 PARENT,D-fructose-6-phosphate,D-fructose-6-phosphate,C6H13O9P,0.679,0.116909,261.037018,2263.83,906617.38,1026477.88,1103575.5,1030571,876623.69,922541.31,675807.75,565521.25,623031.88,953045.88,1104790.12,1017714.12,598157.38,539195,569587.25,530872.69,434962.53,491550.97,702623.25,658911.44,741411.06,625934.44,653776.62,614128.62,934919.94,767597.75,882002.94,800656.31,807037.44,931622.5,1104395.88,1034951.81,827453.81,857072.5,882387,865751.69
,57,58,14,262.040314,13.071,0.791856,,C13-label-1,D-fructose-6-phosphate,D-fructose-6-phosphate,C6H13O9P,0.669,0.116461,261.037018,0,61413.83,65721.28,66087.25,60760.91,54145.04,50631.95,28833.91,30934.72,36828.91,58338.67,66202.02,63210.23,30923.77,26335.8,40363.4,10736.59,27032.74,18134.72,28955.24,28453.23,40424.39,15582.96,25169.81,23090.73,50965.55,14721.22,43467.98,27129.13,45906.82,61422.22,45269,34164.22,32220.15,52606.63,54314.36,53110.09
g,59,59,23,260.052551,12.757,0.819627,[M+H]+,C12 PARENT,D-glucosamine-1/6-phosphate,D-glucosamine-1/6-phosphate,C6H14NO8P,1.093,1.642919,260.052551,0,175498.67,134233.84,180751.77,174239.27,160585.83,180109.69,111775.26,99286.41,136677.55,121991.09,168522.69,185741.16,180002.44,156273.5,214962,148735.7,125501.31,144759.22,544791.25,525151.31,595998.88,434274.34,466401.88,370469.94,474502.16,521592.81,570463.31,511235.91,395555.12,443076.62,627139.81,552234.44,511923.94,537836.94,668992.38,593176
,59,60,0,261.056519,12.742,0.058804,,C13-label-1,D-glucosamine-1/6-phosphate,D-glucosamine-1/6-phosphate,C6H14NO8P,1.108,0.701402,260.052551,0,0,0,0,0,0,0,0,0,0,3343.72,0,0,0,4636.6,0,0,2648.72,0,0,0,0,0,0,10136,0,0,23395.54,7250.88,0,0,18023.31,24386.06,17540.07,0,0,26546.68
,59,61,0,266.072845,13.087,0,,C13-label-6,D-glucosamine-1/6-phosphate,D-glucosamine-1/6-phosphate,C6H14NO8P,0.763,0.91757,260.052551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g,62,62,37,148.060242,12.571,0.836443,[M+H]+,C12 PARENT,glutamate,glutamate,C5H9NO4,0.639,1.339752,148.060242,46789.89,18491754,17902804,20427024,18650038,17673618,17943864,13311596,12651713,14630258,7076476,8010041,7180167,12808487,11932458,12474485,10180235,11410573,13013409,90560800,99982088,122704032,65735528,66396468,67269992,28921516,70964816,70034232,72307696,26849046,31451842,36887204,32958218,31344880,36077944,40233844,34577740
,62,63,28,149.063721,12.571,0.784205,,C13-label-1,glutamate,glutamate,C5H9NO4,0.639,0.511821,148.060242,1942.2,3338862,3121080.75,3624876,3299137.25,3742725.75,3295619,2666341,2542284.25,3089276,736511.69,868302.06,770578.56,1348590,1150807.88,1233654.25,940727.88,985582.12,1141050.62,8874507,8919298,10508742,8500997,8520202,8141580.5,1938431.38,9121323,9113953,9295575,1756156.25,2076148,2700323.5,2328282.25,2248799.75,2621940.75,2904187.5,2443284.75
,62,64,22,150.067078,12.573,0.813383,,C13-label-2,glutamate,glutamate,C5H9NO4,0.637,0.508399,148.060242,3411,4037886.25,3737284,4141372.25,3974831.75,4258655.5,3716579.5,3020556.75,3011175.75,3347322.5,643264.5,740781.94,667965,914474.75,821061,952960.12,635285.94,612243.31,701854.69,31238348,31361182,38226708,23067334,21296434,22064282,3603187,17040322,18410750,17162552,3233670,3528967.25,4014515.5,3598405.75,3345118,3128909.25,3728439.5,3366528.5
,62,65,26,151.07048,12.57,0.830218,,C13-label-3,glutamate,glutamate,C5H9NO4,0.64,0.101004,148.060242,0,15767825,14723628,16925496,15897530,16799504,15118845,11525530,11142893,12895431,3220511.75,3845110.5,3512634.5,5125644,4324886.5,4913238.5,3410565.25,3444122.75,4177964.75,8895355,9102987,10624200,6490402,5528232.5,5674487.5,720159.81,3939802,4532481.5,3508116.75,591558.88,654591.12,637864.38,502152.75,465123.72,502066.94,675742.31,574080.81
,62,66,30,152.073898,12.568,0.836133,,C13-label-4,glutamate,glutamate,C5H9NO4,0.642,0.301014,148.060242,0,2775369.5,2743636.75,3624751,3424999.5,2166591,1720671.5,1922901.25,1575399.12,1221943.25,1146288.25,1293463,1138510.12,1073317.62,1054885.75,1206777.62,764924.38,986067.5,765169.62,9510428,9902514,11765103,4935310,4110429.75,4589594,686599.5,2415629,2843247.75,2032777.12,566403.75,732894,364286.53,362748.09,292207.47,222258.78,333049,246123.91
,62,67,25,153.077103,12.575,0.825735,,C13-label-5,glutamate,glutamate,C5H9NO4,0.635,0.697762,148.060242,4084.97,98437432,96259840,113608336,96151928,88222752,93360048,55347392,53465472,60937580,30920980,35470948,32780078,37453260,32992010,36747224,28603918,30075614,35509316,3553249,3979340.5,4460142.5,1332672.75,1053094.5,1158496,309194.69,595455.25,772717.94,372366.31,271798.62,297132.25,48883.71,57012.91,56807.82,49295.6,58070.55,52370.27
b,68,68,2,230.042969,8.888,0.690036,[M+H]+,C12 PARENT,phosphoribosylamine,phosphoribosylamine,C5H12NO7P,-1,2.387892,230.042969,0,0,0,0,0,0,0,980.43,0,0,0,0,0,0,0,0,0,0,857.9,0,0,0,3599.23,11011.16,4960.76,0,32671.22,36901.04,38700.22,0,0,3145.85,5064.71,889.59,8233.89,7404.92,8464.37
,68,69,0,235.06015,8.83,0.052,,C13-label-5,phosphoribosylamine,phosphoribosylamine,C5H12NO7P,-1,4.089624,230.042969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1658.74,0,0,0,2187.61,0,0,0,0,2486.74,0,1777.99,0,2881.74
g,70,70,35,147.076279,12.621,0.836973,[M+H]+,C12 PARENT,glutamine,glutamine,C5H10N2O3,0.679,0.933726,147.076279,124453.97,3148723.25,3109034,3229128.75,3269077.75,2956809.5,3517504.75,4726704,3282898.25,5010740,1870878.5,2005857.75,2417182.75,4311589.5,4017969.25,8464129,6282102,5589552,6624243.5,590422592,556028608,625729856,639538944,614353984,632219200,469276416,628048832,625516416,670610880,451588064,452118976,524328512,471796128,450842048,454927456,461643264,456630880
,70,71,9,148.079636,12.631,0.74365,,C13-label-1,glutamine,glutamine,C5H10N2O3,0.669,0.927399,147.076279,9567.94,207374.48,169060.55,210147.92,212582.61,185072.31,178077.61,289648.84,216831.52,315779.53,139550.3,126558.47,179500.72,327242.16,287634.09,649314.19,446875.97,361743.06,458591.62,28903996,26302132,29273478,35926660,32003398,30811784,26593702,32230244,32004104,36547468,25555372,25512466,30299492,27006212,25825732,25594032,26687494,26193698
,70,72,18,149.083069,12.628,0.752542,,C13-label-2,glutamine,glutamine,C5H10N2O3,0.672,0.409404,147.076279,1730.48,77469.95,66014.76,79975.83,50420.83,47629.66,63469.63,118398.88,65459.46,134802.59,70672.39,90791.13,110261.84,153262.52,144742.23,334597.94,197627.53,141118.73,174995.16,1378085.88,1347460.5,1343408.62,2180101.75,2202484.25,1921402,2546190,1767729,1810254.25,1724726.12,2226670.75,2343499.25,3827092.5,3493348.25,2996421.25,3328597.75,4047265,3865455.75
,70,73,14,150.086426,12.627,0.76321,,C13-label-3,glutamine,glutamine,C5H10N2O3,0.673,0.406667,147.076279,0,472306.41,462100.62,490186.94,428008.84,431021.84,432193.03,616057,379040.12,657689.81,441948.38,513356.97,589880.31,915784.25,752223.06,1725167.75,1108443.5,821295.75,1088366.75,154179.33,218177.59,190230.27,427277.66,421236.53,399461.38,469098.5,299656.75,313216.59,247632.22,399438.56,423221.41,649273.75,546640.69,465601.69,539786.12,834386.19,683232.75
,70,74,10,151.089752,12.622,0.750097,,C13-label-4,glutamine,glutamine,C5H10N2O3,0.678,0.605949,147.076279,983.64,7549301.5,7318918,8184528.5,7195311.5,6438534,7196001,8391007,5111271,8960982,3566727.5,3782262.25,4893963.5,4619664.5,4246351.5,8857776,8769484,6851964.5,8836150,207955.61,229768.39,208784.67,328281.31,218045.22,286018.34,475126.72,145345.88,148958.31,76923.99,309606.53,418721.5,303761.59,291354.44,233000.52,319088.31,428393.12,399356.81
,70,75,4,152.093002,12.637,0.674334,,C13-label-5,glutamine,glutamine,C5H10N2O3,0.663,1.304228,147.076279,53762.09,206287488,200508000,221140992,193912992,175345680,195032224,225890816,137655680,241238384,100510280,104353992,131702680,127543928,116629712,242679488,238897296,187219600,242105456,215824.78,138761.41,128213.93,121531.48,87285.55,40247.96,274359.22,15740.17,13566.68,15330.54,177778.56,213863.7,68743.25,47312.51,30373.04,103151.2,108370.69,130811.72
g,76,76,27,134.044769,13.03,0.816101,[M+H]+,C12 PARENT,aspartate,aspartate,C4H7NO4,0.43,0.113834,134.044769,18730.89,1174537.25,1149696.12,1313140.62,1222649.5,1396129.5,1137783.5,1756396.12,1583328.38,1687996,268238.72,354226.69,290078.81,385054.31,340129.62,403564.56,405300.84,372882.97,419117.78,3373899,2961377,3623085.5,4696897.5,4721392,4330224,345888.69,6424552,6069913,6890946,439625.97,312530.81,788122,358097.78,238188.39,497931.56,453316.88,423243.06
,76,77,10,136.051315,13.065,0.796137,,C13-label-2,aspartate,aspartate,C4H7NO4,0.395,1.345854,134.044769,4978.71,584831.88,538716.5,613997.62,613206.38,875507.06,625423.38,1085362.12,1093178.38,1023485.31,8919.67,18339.45,12502.15,45467.99,32690.16,52719.7,19149.13,16681.96,14273.3,907092.25,850467.19,1051176.5,1263646.38,1260713.75,1172022.5,3311.15,1102161.38,1136446,1170674.75,1844.64,2226.08,0,0,0,0,920.7,0
,76,78,15,137.054871,13.052,0.78744,,C13-label-3,aspartate,aspartate,C4H7NO4,0.408,0.111333,134.044769,0,648058.88,598211.44,726468.88,670842.25,739543.38,592601.62,814566.12,839088.56,730734.88,16472.78,10118.48,8159.45,24225.34,23821.66,22580.2,6634.72,14891.37,9147.78,655567.56,669210.75,742377.69,613990.81,523210.44,535476.62,1183.4,404167.66,429830.34,362171.69,1240.8,0,0,2721.43,0,0,0,0
,76,79,8,138.058044,13.098,0.625308,,C13-label-4,aspartate,aspartate,C4H7NO4,0.362,1.215767,134.044769,27213.01,2737589,2639231.75,3190216.5,2973202.75,3759460.25,2946089.5,4459525.5,4433796.5,4274325,213796.69,240492.25,200423.95,405746,347097.62,436292.62,207392.36,228573.33,205740.69,136158.88,158260.58,171461.14,101748.28,82807.33,82960.68,9249.79,50647.18,40223.33,23178.23,9221.32,7910.02,2520.05,0,0,2207,835.2,3127.95
g,80,80,36,133.06076,13.089,0.815244,[M+H]+,C12 PARENT,asparagine,asparagine,C4H8N2O3,0.371,0.114675,133.06076,17047.21,10085448,8996515,24388462,21372518,19910100,21355176,16327039,14014084,17681908,19354694,21777010,20050630,16572254,16493200,19187416,14269811,14480727,15512016,55880656,50690268,56101552,39190288,35801036,35259752,49486476,34201444,34407504,30685188,50692440,46334344,31275048,27203410,24457758,25539458,28974158,26649622
,80,81,1,134.063965,13.039,0.50958,,C13-label-1,asparagine,asparagine,C4H8N2O3,0.421,1.251988,133.06076,0,322232.38,676390.25,1236062.62,846087.75,1090826.5,1192528.12,714024.25,789857.12,736496.81,549245.31,862391.88,937815.75,626104.88,514225.47,576715.5,405375.03,451224.94,575161.94,2549081.25,2343332.25,2602980.5,1779710.5,1628135.5,1544502.88,2282852.75,1556722.75,1516300.12,1338960.38,2331437.5,2104473.75,1418285.5,1168958,1057278.88,1133919.25,1277538.88,1168832.75
,80,82,9,135.067017,13.171,0.753112,,C13-label-2,asparagine,asparagine,C4H8N2O3,0.289,3.389148,133.06076,2369.69,0,0,437035.84,210131.25,119082.58,416163,510849.12,266118.91,0,0,642639.94,555465.31,349318.31,383689.84,299867.78,367289.44,437915.56,486330.62,53073.83,52044.96,55282.27,24552.48,24390.81,26948.69,30380.71,14669.66,23538,17957.03,27302.01,18988.52,6274.48,5531.83,3054.99,9957.73,2212.28,2651.39
,80,83,7,137.073959,13.117,0.646502,,C13-label-4,asparagine,asparagine,C4H8N2O3,0.343,1.669766,133.06076,0,34578.79,27002.54,104546.38,83798.7,80370.52,101639.65,67263.88,56208.26,57745.37,71346.58,62885.89,73292.05,56659.11,51948.32,51923.24,49419.83,34470.49,39614.77,0,0,0,0,0,0,0,0,12554.93,0,0,0,0,0,0,0,0,0
